restaurant_id,name,phone,email,city,state,zip
1,RetaSteakhouse,947-571-2265,Albertha.Little57@gmail.com,North Brennaport,ND,53831-8820
2,ThoraPlace,443-440-4964,Hudson94@hotmail.com,Leraview,FL,82127-2859
3,CaliBurgers,839-494-2077,Darrell_Ferry82@gmail.com,Floridatown,WA,76861-9658
4,ZackeryEscape,622-437-7561,Kiera_Collier19@hotmail.com,Abbottstad,NM,34093
5,OleBurgers,426-269-6170,Dominique_McClure77@hotmail.com,Mrazside,MS,82231
6,DarioPlace,967-679-6686,Armando21@gmail.com,North Javonte,MT,45449
7,OswaldVegan,836-654-5649,Melvin_Witting@hotmail.com,Kiehnside,DE,98142-8853
8,DavidPlace,428-524-1953,Kevin.Kulas68@yahoo.com,Millsfurt,AK,14251-3908
9,VerlieDeli,903-744-5770,Frank4@gmail.com,Brainstad,WA,65153-2649
10,ElenorPlace,602-921-7064,Sandrine5@hotmail.com,North Glennie,CA,29381
11,BellSteakhouse,549-235-4487,Jaylon65@gmail.com,Tylerbury,WV,77475-0459
12,BentonParlor,600-329-9416,Ethel45@gmail.com,Andersonstad,VT,37860-2246
13,LennaParlor,304-697-5690,Althea.Anderson66@gmail.com,Balistreriport,WY,42720-1331
14,EuniceVegan,987-431-0326,Gail.Lehner49@yahoo.com,Hillardfort,KY,25201
15,BrianaJoint,856-299-3078,Jaclyn.Spinka@gmail.com,South Jairobury,NV,68427
16,RachelleKitchen,828-504-1508,Sarina_Brekke9@hotmail.com,Ziemannburgh,IL,24904
17,SigmundBurgers,916-925-9458,Brayan77@hotmail.com,South Llewellynberg,NV,66538-5920
18,CynthiaEscape,429-386-9920,Astrid15@gmail.com,East Treyburgh,NM,74703-0298
19,EliseKitchen,503-269-6642,Gonzalo.Mann@gmail.com,Ethanbury,TX,04545-5948
20,LorenzaJoint,494-652-5735,Jenifer71@hotmail.com,Joanieshire,DE,90080-7759
21,CleoraJoint,354-206-9408,Ethelyn.Schmitt@yahoo.com,East Odellfort,HI,12071-2862
22,ElainaEscape,887-672-3289,Branson_Goodwin@hotmail.com,East Domenicafurt,NM,19465-8613
23,TamiaGrill,841-952-2144,Dwight.Marquardt55@yahoo.com,Lake Chesleyshire,PA,77483
24,JolieBurgers,317-302-7691,Dejon.Von@hotmail.com,New Robyn,ID,89701-8148
25,MeredithBurgers,228-255-6879,Loren_Treutel15@yahoo.com,North Rosalee,WA,54802-5313
26,TrentDeli,606-516-1215,Omari_Cassin66@hotmail.com,New Missouri,ID,56676-3433
27,AlfordSweets,579-451-3303,Charlene_Legros15@yahoo.com,West Kayli,VT,94808
28,OceaneGrill,268-963-7434,Sigrid88@hotmail.com,Germainestad,TN,06191-1316
29,AdelbertDeli,513-405-6137,Jacinthe_Waters@hotmail.com,Port Collinhaven,MO,89041-6333
30,ForestKitchen,810-333-0549,Kareem_Murray66@yahoo.com,Port Rusty,MN,19246
31,AliaJoint,557-478-0910,Aubree_Cruickshank72@hotmail.com,Naomiebury,OK,30117
32,LillianJoint,529-237-5023,Marques_Stoltenberg@hotmail.com,Simonisview,NE,94360
33,NettieJoint,482-330-3400,Wilton.Zieme@hotmail.com,Murraychester,AK,13192
34,LauriannePlace,536-523-9907,Adan18@hotmail.com,Lake Andre,CT,53024
35,DorrisPlace,805-914-7784,Joel_Ebert40@gmail.com,Kaiaville,AL,83148
36,EliasVegan,865-567-2103,Vinnie.Kiehn70@hotmail.com,Willowside,SC,86938
37,TristinEscape,684-775-4528,Lorenza79@gmail.com,West Conorburgh,GA,70719-7409
38,IvahGrill,419-637-9922,Johnathan_Cruickshank@hotmail.com,West Jaeden,KY,94346
39,MercedesComfort House,597-318-9318,Santiago_Gutkowski@gmail.com,Miraclehaven,WI,06097-6403
40,KatlynnKitchen,708-311-5206,Crystel38@yahoo.com,Weissnatmouth,TN,46606
41,JazminDeli,213-560-4784,Ernestina.Nitzsche49@gmail.com,Armstrongbury,HI,04578
42,IvoryComfort House,310-792-2321,Mitchell.Roob@yahoo.com,Gusikowskistad,MA,36369-9331
43,KaneDeli,950-459-9962,Xzavier.Zieme70@hotmail.com,Gerlachport,NJ,25984
44,EdaEscape,738-540-2388,Anjali_Kreiger80@yahoo.com,Nikolausbury,MA,52956
45,MontePlace,275-768-9111,Margarete88@gmail.com,New Kurtis,IL,57533-4680
46,KurtPlace,957-587-1182,Wyatt.Wisoky@hotmail.com,Lemketown,NH,00964
47,RowenaJoint,911-411-2207,Grace_Hudson79@hotmail.com,West Vernice,GA,26050
48,CaliKitchen,437-365-8227,Shyanne_Hudson@yahoo.com,Felipaville,HI,31667
49,TimothyJoint,229-412-6472,Maryse_Hettinger67@yahoo.com,New Gunnar,NJ,78776
50,ScotEscape,746-738-3346,Cheyanne_Krajcik95@hotmail.com,Erdmanshire,ND,17656-6070
